Season,Position,AllTeam,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
1617,0,0,Rondae Hollis-Jefferson,BKN,22,78,19,59,22.6,8.7,3,6.9,43.4,0.2,0.9,22.4,2.4,3.2,75.1,1.2,4.6,5.8,2,1.5,1.1,0.6,2.3,8,0,-3.4
1617,0,0,JR Smith,CLE,31,41,25,16,29,8.6,3,8.7,34.6,2.3,6.6,35.1,0.2,0.4,66.7,0.4,2.3,2.8,1.5,0.6,1,0.3,1.9,0,0,1.8
1617,0,0,Tony Snell,MIL,25,80,42,38,29.2,8.5,3.1,6.8,45.5,1.8,4.4,40.6,0.6,0.7,81,0.3,2.8,3.1,1.2,0.7,0.7,0.2,1.6,1,0,-1.5
1617,0,0,Monta Ellis,IND,31,74,39,35,27,8.5,3.3,7.5,44.3,0.6,1.8,31.9,1.3,1.7,72.7,0.3,2.5,2.8,3.2,1.8,1.1,0.4,2,0,0,-1
1617,0,0,Tyson Chandler,PHX,34,47,15,32,27.6,8.4,3.3,4.9,67.1,0,0,0,1.9,2.6,73.4,3.3,8.2,11.5,0.6,1.4,0.7,0.5,2.7,12,0,-1.6
1617,0,0,Arron Afflalo,SAC,31,61,23,38,25.9,8.4,3,6.9,44,1,2.5,41.1,1.4,1.5,89.2,0.1,1.9,2,1.3,0.7,0.3,0.1,1.7,0,0,-4
1617,0,0,Norman Powell,TOR,23,76,47,29,18,8.4,3,6.7,44.9,0.7,2.3,32.4,1.7,2.1,79.2,0.3,1.9,2.2,1.1,0.9,0.7,0.2,1.7,0,0,1.1
1617,0,0,Joe Harris,BKN,25,52,10,42,21.9,8.2,3,7,42.5,1.6,4.3,38.5,0.7,0.9,71.4,0.3,2.5,2.8,1,1.1,0.6,0.2,2.3,0,0,-5.5
1617,0,0,Troy Daniels,MEM,25,67,33,34,17.7,8.2,2.8,7.4,37.4,2.1,5.3,38.9,0.6,0.8,79.6,0.3,1.2,1.5,0.7,0.7,0.3,0.1,1.3,0,0,1.3
1617,0,0,Shawn Long,PHI,24,18,5,13,13,8.2,3.4,6.1,56,0.4,1.1,36.8,1.1,1.9,54.3,2.3,2.4,4.7,0.7,0.7,0.5,0.5,2.7,1,0,1.1
1617,0,0,Caris LeVert,BKN,22,57,15,42,21.7,8.2,3,6.7,45,1,3.2,32.1,1.2,1.6,72,0.4,2.9,3.3,1.9,1,0.9,0.1,1.6,0,0,-1.6
1617,0,0,Willy Hernangomez,NYK,22,72,27,45,18.4,8.2,3.4,6.5,52.9,0.1,0.2,26.7,1.3,1.7,72.8,2.4,4.6,7,1.3,1.4,0.6,0.5,2.1,11,0,-0.8
1617,0,0,Willie Cauley-Stein,SAC,23,75,29,46,18.9,8.1,3.4,6.4,53,0,0,0,1.3,2,66.9,1.1,3.4,4.5,1.1,0.9,0.7,0.6,2,8,0,-2.7
1617,0,0,Ben McLemore,SAC,24,61,27,34,19.3,8.1,3,6.9,43,1.1,2.8,38.2,1.1,1.5,75.3,0.3,1.8,2.1,0.8,1,0.5,0.1,1.8,1,0,-2.2
